kernel,resident_us,warm_us,device_speedup,shape,errors,hardware,date,timing,process_runs,warmups,correctness_scope
aten_sparse_mul_cpu,855.616211,1740.374414,2.034060,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sparse_norm_cpu,108.959961,112.716797,1.034479,N=2097152,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_sqrt,1212.383789,1285.737549,1.060504,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_square,617.696289,1211.235254,1.960891,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sspaddmm_cpu,260.959961,15833.091211,60.672492,C=1774_K=2365_N=18917_R=2365,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_stack_serial_cpu,1376.768,1613.130,1.172,K=406_R=203_T=51,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_standard_gamma_grad_cpu,887.520020,1747.683301,1.969176,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_sum,3079.871582,9788.287988,3.178148,M=65536_N=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_tan,1653.664062,1696.019238,1.025613,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_tanh,1215.359863,1290.927930,1.062178,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_tanh_backward,850.079590,1735.065625,2.041063,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_threshold_backward,883.200,6674.614,7.557,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_transform_bias_rescale_qkv_cpu,703.360352,702.214404,0.998371,B=8_S=512_H=16_D=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_transpose_copy,1451.456,1593.674,1.098,M=2365_N=1774,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_trunc,634.880,4749.651,7.481,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_unbind_copy_cpu,207.776,1743.715,8.392,N=8192_B=512,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_uniform_cpu,635.680,4734.890,7.449,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_upsample_bilinear2d,5472.800003,6388.454400,1.167310,B=4096_C=3_H=4_W=4,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06,,,,
aten_zeros_cpu,117.920,609.978,5.173,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
