kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_relu,4445.807,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_relu torch_cpu_us=4445.807 timing=sync_wall shape='N=4194304'
aten_rms_norm,29160.125,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_rms_norm torch_cpu_us=29160.125 timing=sync_wall shape='N=4194304'
aten_rsqrt,3898.247,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_rsqrt torch_cpu_us=3898.247 timing=sync_wall shape='N=4194304'
aten_sampled_addmm_sparse_csr_cpu,29696.599,PASS,torch_cpu_us,sync_wall,R=4096_K=512_C=4096_NNZ=262144_N=262144,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sampled_addmm_sparse_csr_cpu torch_cpu_us=29696.599 timing=sync_wall shape='R=4096_K=512_C=4096_NNZ=262144_N=262144'
aten_sigmoid,6108.898,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sigmoid torch_cpu_us=6108.898 timing=sync_wall shape='N=4194304'
aten_sigmoid_backward,6241.714,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sigmoid_backward torch_cpu_us=6241.714 timing=sync_wall shape='N=4194304'
aten_silu,6807.943,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_silu torch_cpu_us=6807.943 timing=sync_wall shape='N=4194304'
aten_silu_backward,4741.921,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_silu_backward torch_cpu_us=4741.921 timing=sync_wall shape='N=4194304'
aten_silu_cpu,5246.057,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_silu_cpu torch_cpu_us=5246.057 timing=sync_wall shape='N=4194304'
aten_sin,6094.591,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sin torch_cpu_us=6094.591 timing=sync_wall shape='N=4194304'
aten_sinh,5476.263,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sinh torch_cpu_us=5476.263 timing=sync_wall shape='N=4194304'
aten_softmax,5137.115,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_softmax torch_cpu_us=5137.115 timing=sync_wall shape='N=4194304'
aten_softplus,8658.136,PASS,torch_cpu_us,sync_wall,N=8388608,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_softplus torch_cpu_us=8658.136 timing=sync_wall shape='N=8388608'
aten_softplus_backward,5533.914,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_softplus_backward torch_cpu_us=5533.914 timing=sync_wall shape='N=4194304'
aten_sort_cpu,18377.537,PASS,torch_cpu_us,sync_wall,K=4095_R=1024,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sort_cpu torch_cpu_us=18377.537 timing=sync_wall shape='K=4095_R=1024'
aten_sparse_add_values_cpu,5698.780,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sparse_add_values_cpu torch_cpu_us=5698.780 timing=sync_wall shape='N=4194304'
aten_sparse_addmm_cpu,12466.407,PASS,torch_cpu_us,sync_wall,R=64_C=4096_N=4096,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sparse_addmm_cpu torch_cpu_us=12466.407 timing=sync_wall shape='R=64_C=4096_N=4096'
aten_sparse_coo_softmax_backward_cpu,588069.227,PASS,torch_cpu_us,sync_wall,R=524288_K=8,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sparse_coo_softmax_backward_cpu torch_cpu_us=588069.227 timing=sync_wall shape='R=524288_K=8'
aten_sparse_csr_addmm_cpu,39282.299,PASS,torch_cpu_us,sync_wall,R=65536_K=65536_C=64_N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sparse_csr_addmm_cpu torch_cpu_us=39282.299 timing=sync_wall shape='R=65536_K=65536_C=64_N=4194304'
aten_sparse_csr_reduce_all_cpu,5249.737,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_sparse_csr_reduce_all_cpu torch_cpu_us=5249.737 timing=sync_wall shape='N=4194304'
